hour,numberOfTroves
2021-04-11T23:00:00+00:00,707
2021-04-12T01:00:00+00:00,708
2021-04-12T02:00:00+00:00,710
2021-04-12T03:00:00+00:00,712
2021-04-12T04:00:00+00:00,714
2021-04-12T05:00:00+00:00,716
2021-04-12T06:00:00+00:00,717
2021-04-12T07:00:00+00:00,718
2021-04-12T09:00:00+00:00,718
2021-04-12T12:00:00+00:00,718
2021-04-12T13:00:00+00:00,720
2021-04-12T14:00:00+00:00,721
2021-04-12T15:00:00+00:00,721
2021-04-12T16:00:00+00:00,721
2021-04-12T17:00:00+00:00,720
2021-04-12T19:00:00+00:00,722
2021-04-12T20:00:00+00:00,724
2021-04-12T21:00:00+00:00,725
2021-04-12T22:00:00+00:00,726
2021-04-12T23:00:00+00:00,728
2021-04-13T00:00:00+00:00,729
2021-04-13T01:00:00+00:00,732
2021-04-13T02:00:00+00:00,734
2021-04-13T03:00:00+00:00,736
2021-04-13T04:00:00+00:00,741
2021-04-13T05:00:00+00:00,743
2021-04-13T06:00:00+00:00,744
2021-04-13T07:00:00+00:00,745
2021-04-13T08:00:00+00:00,746
2021-04-13T09:00:00+00:00,747
2021-04-13T10:00:00+00:00,748
2021-04-13T11:00:00+00:00,751
2021-04-13T14:00:00+00:00,756
2021-04-13T15:00:00+00:00,760
2021-04-13T16:00:00+00:00,761
2021-04-13T17:00:00+00:00,763
2021-04-13T18:00:00+00:00,764
2021-04-13T19:00:00+00:00,765
2021-04-13T20:00:00+00:00,768
2021-04-13T21:00:00+00:00,769
2021-04-13T22:00:00+00:00,770
2021-04-13T23:00:00+00:00,772
2021-04-14T00:00:00+00:00,773
2021-04-14T02:00:00+00:00,774
2021-04-14T03:00:00+00:00,777
2021-04-14T04:00:00+00:00,780
2021-04-14T05:00:00+00:00,785
2021-04-14T06:00:00+00:00,785
2021-04-14T07:00:00+00:00,786
2021-04-14T08:00:00+00:00,791
2021-04-14T09:00:00+00:00,796
2021-04-14T10:00:00+00:00,799
2021-04-14T11:00:00+00:00,802
2021-04-14T12:00:00+00:00,804
2021-04-14T13:00:00+00:00,803
2021-04-14T14:00:00+00:00,805
2021-04-14T15:00:00+00:00,806
2021-04-14T16:00:00+00:00,807
2021-04-14T17:00:00+00:00,809
2021-04-14T18:00:00+00:00,812
2021-04-14T20:00:00+00:00,814
2021-04-14T21:00:00+00:00,817
2021-04-14T22:00:00+00:00,819
2021-04-15T00:00:00+00:00,819
2021-04-15T01:00:00+00:00,821
2021-04-15T02:00:00+00:00,824
2021-04-15T04:00:00+00:00,828
2021-04-15T05:00:00+00:00,833
2021-04-15T06:00:00+00:00,837
2021-04-15T07:00:00+00:00,839
2021-04-15T08:00:00+00:00,839
2021-04-15T09:00:00+00:00,840
2021-04-15T10:00:00+00:00,847
2021-04-15T11:00:00+00:00,848
2021-04-15T12:00:00+00:00,850
2021-04-15T13:00:00+00:00,854
2021-04-15T14:00:00+00:00,859
2021-04-15T15:00:00+00:00,863
2021-04-15T16:00:00+00:00,865
2021-04-15T17:00:00+00:00,871
2021-04-15T18:00:00+00:00,874
2021-04-15T19:00:00+00:00,877
2021-04-15T20:00:00+00:00,878
2021-04-15T21:00:00+00:00,885
2021-04-15T22:00:00+00:00,887
2021-04-15T23:00:00+00:00,886
2021-04-16T00:00:00+00:00,887
2021-04-16T01:00:00+00:00,888
2021-04-16T02:00:00+00:00,889
2021-04-16T04:00:00+00:00,889
2021-04-16T05:00:00+00:00,889
2021-04-16T06:00:00+00:00,891
2021-04-16T07:00:00+00:00,893
2021-04-16T08:00:00+00:00,896
2021-04-16T09:00:00+00:00,898
2021-04-16T10:00:00+00:00,902
2021-04-16T11:00:00+00:00,906
2021-04-16T12:00:00+00:00,907
2021-04-16T13:00:00+00:00,910
2021-04-16T14:00:00+00:00,911
2021-04-16T15:00:00+00:00,912
2021-04-16T16:00:00+00:00,914
2021-04-16T17:00:00+00:00,916
2021-04-16T18:00:00+00:00,920
2021-04-16T19:00:00+00:00,922
2021-04-16T22:00:00+00:00,923
2021-04-16T23:00:00+00:00,926
2021-04-17T00:00:00+00:00,927
2021-04-17T01:00:00+00:00,927
2021-04-17T02:00:00+00:00,928
2021-04-17T05:00:00+00:00,931
2021-04-17T06:00:00+00:00,930
2021-04-17T07:00:00+00:00,933
2021-04-17T10:00:00+00:00,933
2021-04-17T11:00:00+00:00,934
2021-04-17T13:00:00+00:00,932
2021-04-17T14:00:00+00:00,931
2021-04-17T16:00:00+00:00,930
2021-04-17T17:00:00+00:00,931
2021-04-17T18:00:00+00:00,932
2021-04-17T19:00:00+00:00,932
2021-04-17T20:00:00+00:00,933
2021-04-17T21:00:00+00:00,935
2021-04-17T22:00:00+00:00,937
2021-04-18T00:00:00+00:00,936
2021-04-18T01:00:00+00:00,938
2021-04-18T02:00:00+00:00,938
2021-04-18T03:00:00+00:00,931
2021-04-18T04:00:00+00:00,928
2021-04-18T05:00:00+00:00,927
2021-04-18T06:00:00+00:00,927
2021-04-18T07:00:00+00:00,926
2021-04-18T08:00:00+00:00,926
2021-04-18T09:00:00+00:00,924
2021-04-18T10:00:00+00:00,922
2021-04-18T11:00:00+00:00,920
2021-04-18T12:00:00+00:00,918
2021-04-18T13:00:00+00:00,914
2021-04-18T14:00:00+00:00,913
2021-04-18T15:00:00+00:00,911
2021-04-18T16:00:00+00:00,913
2021-04-18T17:00:00+00:00,915
2021-04-18T18:00:00+00:00,915
2021-04-18T19:00:00+00:00,919
2021-04-18T20:00:00+00:00,922
2021-04-18T21:00:00+00:00,925
2021-04-18T22:00:00+00:00,927
2021-04-18T23:00:00+00:00,928
2021-04-19T00:00:00+00:00,929
2021-04-19T01:00:00+00:00,930
2021-04-19T02:00:00+00:00,933
2021-04-19T03:00:00+00:00,932
2021-04-19T04:00:00+00:00,933
2021-04-19T05:00:00+00:00,935
2021-04-19T06:00:00+00:00,934
2021-04-19T08:00:00+00:00,934
2021-04-19T10:00:00+00:00,931
2021-04-19T11:00:00+00:00,933
2021-04-19T12:00:00+00:00,928
2021-04-19T13:00:00+00:00,927
2021-04-19T14:00:00+00:00,926
2021-04-19T15:00:00+00:00,925
2021-04-19T16:00:00+00:00,926
2021-04-19T19:00:00+00:00,926
2021-04-19T20:00:00+00:00,927
2021-04-19T21:00:00+00:00,926
2021-04-19T23:00:00+00:00,926
2021-04-20T01:00:00+00:00,925
2021-04-20T02:00:00+00:00,920
2021-04-20T05:00:00+00:00,919
2021-04-20T06:00:00+00:00,919
2021-04-20T07:00:00+00:00,917
2021-04-20T08:00:00+00:00,916
2021-04-20T09:00:00+00:00,917
2021-04-20T10:00:00+00:00,918
2021-04-20T13:00:00+00:00,917
2021-04-20T14:00:00+00:00,916
2021-04-20T15:00:00+00:00,915
2021-04-20T16:00:00+00:00,916
2021-04-20T17:00:00+00:00,917
2021-04-20T18:00:00+00:00,917
2021-04-20T20:00:00+00:00,916
2021-04-20T21:00:00+00:00,914
2021-04-20T22:00:00+00:00,909
2021-04-20T23:00:00+00:00,908
2021-04-21T00:00:00+00:00,905
2021-04-21T01:00:00+00:00,903
2021-04-21T02:00:00+00:00,903
2021-04-21T03:00:00+00:00,904
2021-04-21T04:00:00+00:00,904
2021-04-21T05:00:00+00:00,903
2021-04-21T06:00:00+00:00,905
2021-04-21T07:00:00+00:00,902
2021-04-21T08:00:00+00:00,899
2021-04-21T09:00:00+00:00,897
2021-04-21T10:00:00+00:00,898
2021-04-21T11:00:00+00:00,889
2021-04-21T12:00:00+00:00,888
2021-04-21T13:00:00+00:00,887
2021-04-21T14:00:00+00:00,889
2021-04-21T15:00:00+00:00,889
2021-04-21T16:00:00+00:00,892
2021-04-21T17:00:00+00:00,892
2021-04-21T19:00:00+00:00,892
2021-04-21T21:00:00+00:00,892
2021-04-21T22:00:00+00:00,891
2021-04-21T23:00:00+00:00,891
2021-04-22T00:00:00+00:00,891
2021-04-22T01:00:00+00:00,888
2021-04-22T02:00:00+00:00,887
2021-04-22T04:00:00+00:00,889
2021-04-22T05:00:00+00:00,888
2021-04-22T06:00:00+00:00,892
2021-04-22T08:00:00+00:00,892
2021-04-22T09:00:00+00:00,893
2021-04-22T10:00:00+00:00,897
2021-04-22T11:00:00+00:00,897
2021-04-22T12:00:00+00:00,896
2021-04-22T13:00:00+00:00,899
2021-04-22T14:00:00+00:00,899
2021-04-22T15:00:00+00:00,898
2021-04-22T16:00:00+00:00,898
2021-04-22T17:00:00+00:00,898
2021-04-22T18:00:00+00:00,898
2021-04-22T19:00:00+00:00,899
2021-04-22T20:00:00+00:00,897
2021-04-22T21:00:00+00:00,895
2021-04-22T22:00:00+00:00,896
2021-04-22T23:00:00+00:00,898
2021-04-23T00:00:00+00:00,899
2021-04-23T01:00:00+00:00,898
2021-04-23T02:00:00+00:00,896
2021-04-23T03:00:00+00:00,895
2021-04-23T04:00:00+00:00,895
2021-04-23T05:00:00+00:00,894
2021-04-23T06:00:00+00:00,892
2021-04-23T07:00:00+00:00,891
2021-04-23T08:00:00+00:00,890
2021-04-23T10:00:00+00:00,891
2021-04-23T11:00:00+00:00,892
2021-04-23T12:00:00+00:00,891
2021-04-23T14:00:00+00:00,891
2021-04-23T15:00:00+00:00,890
2021-04-23T16:00:00+00:00,889
2021-04-23T17:00:00+00:00,890
2021-04-23T18:00:00+00:00,888
2021-04-23T19:00:00+00:00,889
2021-04-23T20:00:00+00:00,893
2021-04-23T21:00:00+00:00,894
2021-04-23T22:00:00+00:00,895
2021-04-23T23:00:00+00:00,895
2021-04-24T00:00:00+00:00,894
2021-04-24T01:00:00+00:00,896
2021-04-24T02:00:00+00:00,902
2021-04-24T03:00:00+00:00,904
2021-04-24T04:00:00+00:00,909
2021-04-24T06:00:00+00:00,913
2021-04-24T07:00:00+00:00,913
2021-04-24T08:00:00+00:00,915
2021-04-24T09:00:00+00:00,916
2021-04-24T10:00:00+00:00,917
2021-04-24T11:00:00+00:00,919
2021-04-24T13:00:00+00:00,920
2021-04-24T14:00:00+00:00,920
2021-04-24T15:00:00+00:00,920
2021-04-24T16:00:00+00:00,925
2021-04-24T17:00:00+00:00,927
2021-04-24T18:00:00+00:00,932
2021-04-24T19:00:00+00:00,935
2021-04-24T20:00:00+00:00,935
2021-04-24T21:00:00+00:00,939
2021-04-24T22:00:00+00:00,943
2021-04-24T23:00:00+00:00,945
2021-04-25T00:00:00+00:00,948
2021-04-25T01:00:00+00:00,949
2021-04-25T02:00:00+00:00,950
2021-04-25T03:00:00+00:00,951
2021-04-25T04:00:00+00:00,953
2021-04-25T05:00:00+00:00,955
2021-04-25T06:00:00+00:00,958
2021-04-25T07:00:00+00:00,960
2021-04-25T08:00:00+00:00,960
2021-04-25T09:00:00+00:00,963
2021-04-25T10:00:00+00:00,966
2021-04-25T11:00:00+00:00,967
2021-04-25T12:00:00+00:00,969
2021-04-25T13:00:00+00:00,976
2021-04-25T14:00:00+00:00,978
2021-04-25T15:00:00+00:00,976
2021-04-25T16:00:00+00:00,978
2021-04-25T17:00:00+00:00,981
2021-04-25T19:00:00+00:00,984
2021-04-25T20:00:00+00:00,985
2021-04-25T21:00:00+00:00,987
2021-04-25T22:00:00+00:00,988
2021-04-25T23:00:00+00:00,990
2021-04-26T00:00:00+00:00,996
2021-04-26T01:00:00+00:00,1000
2021-04-26T02:00:00+00:00,1001
2021-04-26T03:00:00+00:00,1006
2021-04-26T04:00:00+00:00,1006
2021-04-26T05:00:00+00:00,1011
2021-04-26T06:00:00+00:00,1013
2021-04-26T07:00:00+00:00,1012
2021-04-26T08:00:00+00:00,1013
2021-04-26T09:00:00+00:00,1012
2021-04-26T10:00:00+00:00,1014
2021-04-26T11:00:00+00:00,1016
2021-04-26T12:00:00+00:00,1019
2021-04-26T14:00:00+00:00,1018
2021-04-26T15:00:00+00:00,1020
2021-04-26T16:00:00+00:00,1018
2021-04-26T17:00:00+00:00,1017
2021-04-26T18:00:00+00:00,1018
2021-04-26T19:00:00+00:00,1019
2021-04-26T21:00:00+00:00,1021
2021-04-26T22:00:00+00:00,1022
2021-04-26T23:00:00+00:00,1023
2021-04-27T00:00:00+00:00,1024
2021-04-27T01:00:00+00:00,1026
2021-04-27T02:00:00+00:00,1027
2021-04-27T03:00:00+00:00,1030
2021-04-27T05:00:00+00:00,1031
2021-04-27T06:00:00+00:00,1032
2021-04-27T07:00:00+00:00,1029
2021-04-27T08:00:00+00:00,1028
2021-04-27T10:00:00+00:00,1033
2021-04-27T11:00:00+00:00,1034
2021-04-27T12:00:00+00:00,1034
2021-04-27T13:00:00+00:00,1034
2021-04-27T14:00:00+00:00,1033
2021-04-27T15:00:00+00:00,1029
2021-04-27T16:00:00+00:00,1030
2021-04-27T17:00:00+00:00,1031
2021-04-27T18:00:00+00:00,1035
2021-04-27T19:00:00+00:00,1033
2021-04-27T20:00:00+00:00,1034
2021-04-27T21:00:00+00:00,1033
2021-04-27T22:00:00+00:00,1035
2021-04-27T23:00:00+00:00,1034
2021-04-28T00:00:00+00:00,1034
2021-04-28T01:00:00+00:00,1033
2021-04-28T02:00:00+00:00,1032
2021-04-28T03:00:00+00:00,1034
2021-04-28T04:00:00+00:00,1035
2021-04-28T05:00:00+00:00,1035
2021-04-28T07:00:00+00:00,1037
2021-04-28T08:00:00+00:00,1037
2021-04-28T09:00:00+00:00,1038
2021-04-28T11:00:00+00:00,1037
2021-04-28T13:00:00+00:00,1039
2021-04-28T14:00:00+00:00,1039
2021-04-28T17:00:00+00:00,1039
2021-04-28T19:00:00+00:00,1037
2021-04-28T21:00:00+00:00,1040
2021-04-29T00:00:00+00:00,1041
2021-04-29T01:00:00+00:00,1042
2021-04-29T02:00:00+00:00,1043
2021-04-29T03:00:00+00:00,1044
2021-04-29T04:00:00+00:00,1045
2021-04-29T05:00:00+00:00,1045
2021-04-29T06:00:00+00:00,1042
2021-04-29T07:00:00+00:00,1041
2021-04-29T08:00:00+00:00,1042
2021-04-29T09:00:00+00:00,1042
2021-04-29T10:00:00+00:00,1041
2021-04-29T11:00:00+00:00,1039
2021-04-29T14:00:00+00:00,1040
2021-04-29T16:00:00+00:00,1040
2021-04-29T17:00:00+00:00,1041
2021-04-29T18:00:00+00:00,1037
2021-04-29T19:00:00+00:00,1036
2021-04-29T20:00:00+00:00,1036
2021-04-29T21:00:00+00:00,1037
2021-04-29T22:00:00+00:00,1039
2021-04-29T23:00:00+00:00,1040
2021-04-30T00:00:00+00:00,1041
2021-04-30T02:00:00+00:00,1042
2021-04-30T03:00:00+00:00,1040
2021-04-30T05:00:00+00:00,1039
2021-04-30T06:00:00+00:00,1036
2021-04-30T07:00:00+00:00,1036
2021-04-30T08:00:00+00:00,1036
2021-04-30T09:00:00+00:00,1037
2021-04-30T10:00:00+00:00,1036
2021-04-30T11:00:00+00:00,1038
2021-04-30T12:00:00+00:00,1039
2021-04-30T13:00:00+00:00,1037
2021-04-30T15:00:00+00:00,1039
2021-04-30T16:00:00+00:00,1038
2021-04-30T17:00:00+00:00,1039
2021-04-30T18:00:00+00:00,1039
2021-04-30T19:00:00+00:00,1041
2021-04-30T20:00:00+00:00,1042
2021-04-30T21:00:00+00:00,1044
2021-04-30T22:00:00+00:00,1043
2021-04-30T23:00:00+00:00,1044
2021-05-01T00:00:00+00:00,1046
2021-05-01T01:00:00+00:00,1047
2021-05-01T02:00:00+00:00,1046
2021-05-01T03:00:00+00:00,1047
2021-05-01T04:00:00+00:00,1048
2021-05-01T05:00:00+00:00,1048
2021-05-01T06:00:00+00:00,1050
2021-05-01T07:00:00+00:00,1054
2021-05-01T08:00:00+00:00,1055
2021-05-01T09:00:00+00:00,1054
2021-05-01T10:00:00+00:00,1054
2021-05-01T11:00:00+00:00,1056
2021-05-01T12:00:00+00:00,1055
2021-05-01T13:00:00+00:00,1052
2021-05-01T14:00:00+00:00,1054
2021-05-01T15:00:00+00:00,1054
2021-05-01T16:00:00+00:00,1055
2021-05-01T17:00:00+00:00,1055
2021-05-01T18:00:00+00:00,1054
2021-05-01T19:00:00+00:00,1054
2021-05-01T20:00:00+00:00,1057
2021-05-01T22:00:00+00:00,1062
2021-05-01T23:00:00+00:00,1063
2021-05-02T00:00:00+00:00,1064
2021-05-02T02:00:00+00:00,1063
2021-05-02T03:00:00+00:00,1062
2021-05-02T04:00:00+00:00,1061
2021-05-02T05:00:00+00:00,1063
2021-05-02T06:00:00+00:00,1064
2021-05-02T07:00:00+00:00,1063
2021-05-02T09:00:00+00:00,1065
2021-05-02T11:00:00+00:00,1066
2021-05-02T12:00:00+00:00,1066
2021-05-02T13:00:00+00:00,1065
2021-05-02T14:00:00+00:00,1066
2021-05-02T16:00:00+00:00,1068
2021-05-02T17:00:00+00:00,1071
2021-05-02T18:00:00+00:00,1071
2021-05-02T19:00:00+00:00,1074
2021-05-02T20:00:00+00:00,1073
2021-05-02T21:00:00+00:00,1073
2021-05-02T22:00:00+00:00,1074
2021-05-02T23:00:00+00:00,1074
2021-05-03T00:00:00+00:00,1076
2021-05-03T01:00:00+00:00,1073
2021-05-03T02:00:00+00:00,1070
2021-05-03T03:00:00+00:00,1071
2021-05-03T04:00:00+00:00,1069
2021-05-03T05:00:00+00:00,1069
2021-05-03T06:00:00+00:00,1069
2021-05-03T07:00:00+00:00,1070
2021-05-03T09:00:00+00:00,1070
2021-05-03T10:00:00+00:00,1072
2021-05-03T11:00:00+00:00,1072
2021-05-03T12:00:00+00:00,1074
2021-05-03T13:00:00+00:00,1073
2021-05-03T14:00:00+00:00,1073
2021-05-03T15:00:00+00:00,1074
2021-05-03T16:00:00+00:00,1073
2021-05-03T17:00:00+00:00,1072
2021-05-03T18:00:00+00:00,1071
2021-05-03T20:00:00+00:00,1073
2021-05-03T22:00:00+00:00,1075
2021-05-03T23:00:00+00:00,1073
2021-05-04T00:00:00+00:00,1074
2021-05-04T01:00:00+00:00,1076
2021-05-04T02:00:00+00:00,1073
2021-05-04T03:00:00+00:00,1075
2021-05-04T04:00:00+00:00,1073
2021-05-04T05:00:00+00:00,1072
2021-05-04T06:00:00+00:00,1071
2021-05-04T07:00:00+00:00,1072
2021-05-04T08:00:00+00:00,1073
2021-05-04T09:00:00+00:00,1072
2021-05-04T10:00:00+00:00,1074
2021-05-04T12:00:00+00:00,1077
2021-05-04T13:00:00+00:00,1078
2021-05-04T15:00:00+00:00,1076
2021-05-04T16:00:00+00:00,1073
2021-05-04T17:00:00+00:00,1073
2021-05-04T18:00:00+00:00,1072
2021-05-04T19:00:00+00:00,1070
2021-05-04T20:00:00+00:00,1073
2021-05-04T21:00:00+00:00,1072
2021-05-04T22:00:00+00:00,1074
2021-05-04T23:00:00+00:00,1075
2021-05-05T00:00:00+00:00,1074
2021-05-05T01:00:00+00:00,1075
2021-05-05T02:00:00+00:00,1074
2021-05-05T03:00:00+00:00,1075
2021-05-05T04:00:00+00:00,1076
2021-05-05T05:00:00+00:00,1078
2021-05-05T06:00:00+00:00,1076
2021-05-05T07:00:00+00:00,1074
2021-05-05T08:00:00+00:00,1075
2021-05-05T09:00:00+00:00,1076
2021-05-05T10:00:00+00:00,1077
2021-05-05T11:00:00+00:00,1079
2021-05-05T12:00:00+00:00,1078
2021-05-05T14:00:00+00:00,1075
2021-05-05T15:00:00+00:00,1078
2021-05-05T16:00:00+00:00,1077
2021-05-05T17:00:00+00:00,1080
2021-05-05T18:00:00+00:00,1079
2021-05-05T20:00:00+00:00,1078
2021-05-05T22:00:00+00:00,1080
2021-05-05T23:00:00+00:00,1080
2021-05-06T01:00:00+00:00,1083
2021-05-06T02:00:00+00:00,1082
2021-05-06T03:00:00+00:00,1080
2021-05-06T04:00:00+00:00,1081
2021-05-06T05:00:00+00:00,1082
2021-05-06T06:00:00+00:00,1081
2021-05-06T08:00:00+00:00,1079
2021-05-06T09:00:00+00:00,1079
2021-05-06T11:00:00+00:00,1080
2021-05-06T12:00:00+00:00,1080
2021-05-06T13:00:00+00:00,1079
2021-05-06T15:00:00+00:00,1081
2021-05-06T16:00:00+00:00,1084
2021-05-06T17:00:00+00:00,1086
2021-05-06T18:00:00+00:00,1087
2021-05-06T19:00:00+00:00,1089
2021-05-06T20:00:00+00:00,1089
2021-05-06T21:00:00+00:00,1091
2021-05-06T22:00:00+00:00,1094
2021-05-06T23:00:00+00:00,1095
2021-05-07T00:00:00+00:00,1097
2021-05-07T01:00:00+00:00,1095
2021-05-07T02:00:00+00:00,1097
2021-05-07T03:00:00+00:00,1097
2021-05-07T04:00:00+00:00,1097
2021-05-07T05:00:00+00:00,1097
2021-05-07T06:00:00+00:00,1099
2021-05-07T07:00:00+00:00,1100
2021-05-07T08:00:00+00:00,1098
2021-05-07T10:00:00+00:00,1099
2021-05-07T12:00:00+00:00,1098
2021-05-07T13:00:00+00:00,1099
2021-05-07T14:00:00+00:00,1102
2021-05-07T15:00:00+00:00,1103
2021-05-07T17:00:00+00:00,1105
2021-05-07T18:00:00+00:00,1105
2021-05-07T19:00:00+00:00,1107
2021-05-07T20:00:00+00:00,1107
2021-05-07T21:00:00+00:00,1108
2021-05-07T22:00:00+00:00,1108
2021-05-07T23:00:00+00:00,1109
2021-05-08T00:00:00+00:00,1109
2021-05-08T01:00:00+00:00,1110
2021-05-08T02:00:00+00:00,1114
2021-05-08T03:00:00+00:00,1115
2021-05-08T05:00:00+00:00,1116
2021-05-08T08:00:00+00:00,1113
2021-05-08T09:00:00+00:00,1114
2021-05-08T10:00:00+00:00,1112
2021-05-08T11:00:00+00:00,1114
2021-05-08T12:00:00+00:00,1112
2021-05-08T13:00:00+00:00,1110
2021-05-08T17:00:00+00:00,1111
2021-05-08T19:00:00+00:00,1112
2021-05-08T20:00:00+00:00,1113
2021-05-08T21:00:00+00:00,1112
2021-05-08T22:00:00+00:00,1112
2021-05-08T23:00:00+00:00,1112
2021-05-09T01:00:00+00:00,1113
2021-05-09T02:00:00+00:00,1114
2021-05-09T04:00:00+00:00,1115
2021-05-09T05:00:00+00:00,1117
2021-05-09T06:00:00+00:00,1119
2021-05-09T07:00:00+00:00,1117
2021-05-09T08:00:00+00:00,1115
2021-05-09T09:00:00+00:00,1115
2021-05-09T10:00:00+00:00,1113
2021-05-09T11:00:00+00:00,1110
2021-05-09T12:00:00+00:00,1112
2021-05-09T13:00:00+00:00,1113
2021-05-09T14:00:00+00:00,1112
